route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
40701003311,DAILY,40033410,Commercial,0,,4003341
40700003311,DAILY,40033211,Carbanas,1,,4003321
40700003311,DAILY,40033210,Donholm,0,,4003321
40100003311,DAILY,40033111,Pipeline,1,,4003311
40100003311,DAILY,40033110,Muthurwa,0,,4003311
40700003411,DAILY,40034111,JKIA,1,,4003411
40700003411,DAILY,40034110,Ambassadeur,0,,4003411
40702034B11,DAILY,4034B111,Jacaranda,1,,4034B11
40702034B11,DAILY,4034B110,Ambassadeur,0,,4034B11
40601003611,DAILY,40036111,Dandora,1,,4003611
40601003611,DAILY,40036110,City Stadium,0,,4003611
4070500SK11,DAILY,43560221,Kayole Junction,1,,4356022
4070500SK11,DAILY,43560220,Tusker,0,,4356022
40601005811,DAILY,40058111,Buruburu,1,,4005811
40601005811,DAILY,40058110,Ambassadeur,0,,4005811
40101040501,DAILY,40405211,Nyayo Stadium,1,,4040521
40101040501,DAILY,40405210,City Stadium,0,,4040521
40703196011,DAILY,41960111,Kayole,1,,4196011
40703196011,DAILY,41960110,Kamukuji,0,,4196011
40702196111,DAILY,41961111,Kayole,0,,4196111
40702196111,DAILY,41961110,OTC,1,,4196111
40702196112,DAILY,41961121,Kayole,1,,4196112
40702196112,DAILY,41961120,Donholm,0,,4196112
40704356011,DAILY,43560111,Umoja,1,,4356011
40704356011,DAILY,43560110,Tusker,0,,4356011
40705383911,DAILY,43839111,Ruai,1,,4383911
40705383911,DAILY,43839110,Muthurwa,0,,4383911
40301707111,DAILY,47071111,Lunga Lunga,1,,4707111
40301707111,DAILY,47071110,Muthurwa,0,,4707111
40102040511,DAILY,40405111,GM,1,,4040511
40102040511,DAILY,40405110,Muthurwa,0,,4040511
40704356001,DAILY,43560211,Umoja 2,1,,4356021
40704356001,DAILY,43560210,Donholm,0,,4356021
50100001111,DAILY,50011111,Hazina,1,,5001111
50100001111,DAILY,50011110,Bus Station,0,,5001111
50300012C11,DAILY,5012C111,Mugoya,1,,5012C11
50300012C11,DAILY,5012C110,Bus Station,0,,5012C11
50301012D11,DAILY,5012D111,Amboseli,1,,5012D11
50301012D11,DAILY,5012D110,Bus Station,0,,5012D11
50201014A11,DAILY,5014A111,Strathmore,1,,5014A11
50201014A11,DAILY,5014A110,Bus Station,0,,5014A11
50201014B11,DAILY,5014B111,TMall,1,,5014B11
50201014B11,DAILY,5014B110,Bus Station,0,,5014B11
50204001511,DAILY,50015111,Langata,1,,5001511
50204001511,DAILY,50015110,Bus Station,0,,5001511
50203001611,DAILY,50016111,Highrise,1,,5001611
50203001611,DAILY,50016110,Bus Station,0,,5001611
50000002412,DAILY,50024211,Karen,1,,5002421
50000002412,DAILY,50024210,Bomas,0,,5002421
50206002411,DAILY,50024111,Karen,1,,5002411
50206002411,DAILY,50024110,Ambassadeur,0,,5002411
50600003311,DAILY,50033111,Imara Daima,1,,5003311
50600003311,DAILY,50033110,Commercial,0,,5003311
50701003311,DAILY,50033131,Pipeline,1,,5003313
50701003311,DAILY,50033130,Commercial,0,,5003313
50700003311,DAILY,50033311,Utawala,1,,5003331
50700003311,DAILY,50033310,Ambassadeur,0,,5003331
50702003311,DAILY,50033141,Posta,1,,503314
50702003311,DAILY,50033140,Commercial,0,,503314
50600033A11,DAILY,50033161,St.Bakhita,1,,5003361
50600033A11,DAILY,50033160,Commercial,0,,5003361
50800011011,DAILY,50110111,Kitengela,1,,5011011
50800011011,DAILY,50110110,Railways Uchumi,0,,5011011
50901011011,DAILY,50110121,Makadara,1,,5011021
50901011011,DAILY,50110120,Railways Uchumi,0,,5011021
50901011012,DAILY,50110211,Kitengela,0,,5011012
50901011012,DAILY,50110210,Devki Athiriver,1,,5011012
50205012511,DAILY,50125111,Ongata Rongai,1,,5012511
50205012511,DAILY,50125110,Railways,0,,5012511
50205012601,DAILY,50126211,Kiserian,1,,5012621
